tm_18_33821			['E2N', 'E2S', 'W2N', 'W2S', 'S2E', 'N2E', 'N2U', 'N2D', 'S2U', 'W2U', 'W2D', 'E2U', 'E2D', 'U2N', 'U2S', 'U2E', 'D2N', 'D2E']
tm_18_34062			['E2N', 'E2S', 'W2N', 'W2S', 'S2E', 'N2E', 'N2U', 'N2D', 'S2D', 'W2U', 'W2D', 'E2U', 'E2D', 'U2N', 'U2E', 'D2N', 'D2S', 'D2E']
tm_18_34262			['E2N', 'E2S', 'W2N', 'W2S', 'S2E', 'N2E', 'N2U', 'N2D', 'W2U', 'W2D', 'E2U', 'E2D', 'U2N', 'U2S', 'U2E', 'D2N', 'D2S', 'D2E']
tm_18_34329			['E2N', 'E2S', 'W2N', 'W2S', 'S2E', 'N2E', 'N2U', 'S2U', 'S2D', 'W2U', 'W2D', 'E2U', 'E2D', 'U2N', 'U2S', 'U2E', 'D2S', 'D2E']
tm_18_34548			['E2N', 'E2S', 'W2N', 'W2S', 'S2E', 'N2E', 'N2U', 'S2U', 'W2U', 'W2D', 'E2U', 'E2D', 'U2N', 'U2S', 'U2E', 'D2N', 'D2S', 'D2E']
tm_18_34587			['E2N', 'E2S', 'W2N', 'W2S', 'S2E', 'N2E', 'N2U', 'S2U', 'W2U', 'E2U', 'E2D', 'U2N', 'U2S', 'U2E', 'U2W', 'D2N', 'D2S', 'D2E']
tm_18_34595			['E2N', 'E2S', 'W2N', 'W2S', 'S2E', 'N2E', 'N2U', 'S2U', 'W2U', 'E2U', 'U2N', 'U2S', 'U2E', 'U2W', 'D2N', 'D2S', 'D2E', 'D2W']
tm_18_34727			['E2N', 'E2S', 'W2N', 'W2S', 'S2E', 'N2E', 'N2D', 'S2U', 'S2D', 'W2U', 'W2D', 'E2U', 'E2D', 'U2S', 'U2E', 'D2N', 'D2S', 'D2E']
tm_18_34978			['E2N', 'E2S', 'W2N', 'W2S', 'S2E', 'N2E', 'N2D', 'S2D', 'W2U', 'W2D', 'E2U', 'E2D', 'U2N', 'U2S', 'U2E', 'D2N', 'D2S', 'D2E']
tm_18_35031			['E2N', 'E2S', 'W2N', 'W2S', 'S2E', 'N2E', 'N2D', 'S2D', 'W2D', 'E2U', 'E2D', 'U2N', 'U2S', 'U2E', 'D2N', 'D2S', 'D2E', 'D2W']
tm_18_35036			['E2N', 'E2S', 'W2N', 'W2S', 'S2E', 'N2E', 'N2D', 'S2D', 'W2D', 'E2D', 'U2N', 'U2S', 'U2E', 'U2W', 'D2N', 'D2S', 'D2E', 'D2W']
tm_18_35056			['E2N', 'E2S', 'W2N', 'W2S', 'S2E', 'N2E', 'S2U', 'S2D', 'W2U', 'W2D', 'E2U', 'E2D', 'U2N', 'U2S', 'U2E', 'D2N', 'D2S', 'D2E']
tm_18_35701			['E2N', 'E2S', 'W2N', 'W2S', 'N2W', 'N2E', 'N2U', 'N2D', 'S2U', 'S2D', 'W2U', 'W2D', 'E2U', 'E2D', 'U2N', 'U2S', 'U2E', 'U2W']
tm_18_35770			['E2N', 'E2S', 'W2N', 'W2S', 'N2W', 'N2E', 'N2U', 'N2D', 'S2U', 'S2D', 'W2U', 'W2D', 'E2U', 'E2D', 'D2N', 'D2S', 'D2E', 'D2W']
tm_18_36196			['E2N', 'E2S', 'W2N', 'W2S', 'N2W', 'N2E', 'N2U', 'N2D', 'S2U', 'W2U', 'W2D', 'E2U', 'E2D', 'U2N', 'U2S', 'U2E', 'U2W', 'D2N']
